door1,button1,button3,
button1,door1,button3,door3,
button3,door1,button1,door3,
door3,button1,button3,door26,
door26,door3,button4,door27,door5,button5,door4,button6,door6,button7,button9,door9,button12,button11,door11,door12,door8,button10,door10,door28,door29,door30,door31,doorKey1,doorKey2,button15,button8,button13,door13,door32,doorKey4,button16,door16,button14,door14,door15,button25,button24,door24,button23,door23,door25,button21,button22,buttonKey3,button20,door20,door21,door19,button19,door22,buttonKey4,door18,button18,doorKey3,door17,button17,door33,
button4,door26,door27,door5,button5,
door27,door26,button4,door5,button5,
door5,door26,button4,door27,button5,
button5,door26,button4,door27,door5,button6,door6,
door4,door26,
button6,door26,button5,door6,
door6,door26,button5,button6,
button7,door8,door26,button9,button8,door9,
button9,door8,door26,button7,door9,
door9,door8,door26,button7,button9,
button12,button11,door11,door12,door26,
button11,door11,door12,door26,button12,
door11,button11,door12,door26,button12,
door12,button11,door11,door26,button12,
door8,door26,button7,button9,button8,door9,
button10,door26,door10,
door10,button10,door26,
door28,door26,door29,
door29,door26,door28,
door30,door26,door31,doorKey1,
door31,door26,door30,doorKey1,doorKey2,
doorKey1,door26,door30,door31,doorKey2,
doorKey2,door32,door26,door31,doorKey1,
button15,door26,button14,door14,door15,
button8,door8,door26,button7,
button13,door26,door13,
door13,door26,button13,
door32,door26,doorKey2,
doorKey4,door26,
button16,door16,door26,
door16,button16,door26,
button14,door26,door14,door15,button15,
door14,button14,door26,button15,
door15,button14,door26,button15,
button25,door26,button24,door24,button23,door23,door25,
button24,door26,button25,door24,button23,door23,door25,
door24,door26,button25,button24,
button23,door26,button25,button24,door23,door25,button21,
door23,door26,button25,button24,button23,door25,
door25,door26,button25,button24,button23,door23,
button21,button20,door20,door21,door19,door26,button19,door18,button18,button23,
button22,door26,door22,
buttonKey3,door26,
button20,door20,door21,door19,button19,door26,door18,button18,doorKey3,button21,
door20,button20,door21,door19,button19,door26,door18,button18,button21,
door21,button20,door20,door19,button19,door26,button21,
door19,button20,door20,door21,button19,door26,door18,button18,button21,
button19,button20,door20,door21,door19,door26,door18,button18,button21,
door22,door26,button22,
buttonKey4,door26,
door18,button20,door20,door19,button19,door26,button18,doorKey3,button21,
button18,button20,door20,door19,button19,door26,door18,doorKey3,button21,
doorKey3,button20,door26,door18,button18,
door17,door26,button17,
button17,door26,door17,
door33,door26,
Tried Doordoor1,
Tried Doordoor3,
Tried Doordoor26,
exploration time,1082,
cycleNumber,18458,
Run time,2499,
test status,true,
